00:41:52                        Запускается сервис Монитора Установки...
00:41:52                        Версия сервиса: 0x105
00:41:52                        Запускаем 'setup.exe'...
00:41:52                        Монитор установки запущен
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jp2native.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jp2ssv.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jpeg.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jsound.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\jsoundds.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\kcms.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\lcms.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\management.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\mlib_image.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\msvcp120.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\msvcr100.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\plugin2\msvcr100.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\msvcr120.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\net.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\npt.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\prism_common.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\prism_d3d.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\prism_sw.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\resource.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\splashscreen.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\ssv.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\sunec.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\sunmscapi.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\t2k.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\unpack.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\verify.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\WindowsAccessBridge-32.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\WindowsAccessBridge.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\zip.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\client\jvm.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\dtplugin\deployJava1.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\dtplugin\npdeployJava1.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\jre\bin\plugin2\npjp2.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\MonoBleedingEdge\EmbedRuntime\mono-2.0-bdwgc.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\MonoBleedingEdge\EmbedRuntime\MonoPosixHelper.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\Managed\Assembly-CSharp-firstpass.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\Managed\Assembly-CSharp-firstpass.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\Managed\Assembly-CSharp.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\Managed\Assembly-CSharp.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\VRPlayground\SlimeRancher_Data\Managed\DOTween.dll
00:44:24    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\Managed\DOTween.dll
